0,0,0
73,28,996
64,101,1003
39,31,937
53,-15,888
50,30,927
27,140,1093
-14,114,1058
-47,97,916
-78,90,911
-90,58,934
-113,83,865
-181,20,1024
-185,-74,1149
-120,41,927
-129,83,824
-154,46,953
-232,182,1209
-251,150,1329
-245,135,1152
-192,57,908
-172,155,990
-201,92,1096
-198,35,1033
-213,80,863
-219,-22,728
-246,-107,794
-254,62,953
-225,166,995
-207,170,840
-272,-78,801
-296,-106,1021
-307,129,1131
-293,87,1193
-307,53,1230
-261,57,1057
-325,-37,993
-353,-210,1118
-316,-102,999
-269,81,836
-356,6,903
-410,-195,951
-424,-164,937
-500,-125,913
-456,-139,912
-479,-113,896
-474,-220,959
-439,-121,958
-410,-18,894
-365,-51,850
-300,-87,615
-276,-30,616
-274,79,733
-351,62,715
-459,-107,658
-540,-245,579
-581,-92,834
-586,-33,832
-681,-51,800
-743,-131,992
-700,-110,1069
-586,13,986
-535,49,746
-494,0,675
-466,-61,718
-539,-163,765
-551,-58,882
-548,106,845
-554,134,756
-605,81,819
-656,-75,957
-655,-55,984
-638,49,912
-625,78,829
-628,101,803
-695,84,881
-741,12,927
-736,-39,958
-718,70,891
-738,74,859
-715,53,834
-698,103,807
-725,238,734
-722,214,750
-719,142,811
-701,208,761
-700,233,735
-675,237,735
-629,230,690
-647,299,668
-665,239,571
-696,158,583
-664,124,778
-651,210,831
-682,238,647
-697,242,637
-725,170,786
-670,41,846
-645,28,700
-590,174,718
-607,269,806
-604,170,777
-561,94,779
-549,102,677
-575,113,689
-555,-12,730
-546,4,771
-679,-104,952
-691,-361,1092
-600,-239,1041
-506,-7,873
-411,24,649
-461,79,664
-493,-82,969
-438,-94,1066
-437,26,868
-485,-34,814
-498,-68,878
-521,-63,1010
-561,-190,1098
-532,-101,961
-579,13,885
-582,-63,1075
-580,-157,1003
-535,-198,888
-516,-121,834
-525,-134,899
-573,-269,1000
-512,-323,1013
-444,-183,823
-395,-55,724
-352,-111,767
-335,-184,797
-349,-166,863
-379,-156,978
-374,-161,1038
-343,-52,888
-368,-20,802
-355,-7,841
-373,69,827
-407,8,815
-429,-87,757
-480,-211,680
-560,-301,578
-611,-243,827
-580,-255,949
-544,-222,839
-525,-221,643
-503,-181,797
-461,-177,869
-446,-118,821
-415,-87,736
-423,-109,749
-464,-183,859
-500,-218,893
-477,-112,926
-473,18,937
-499,-13,894
-484,-35,852
-486,4,775
-524,19,845
-538,-4,944
-534,-2,917
-598,-69,822
-657,-92,889
-636,-47,1005
-627,-17,918
-628,21,838
-631,18,830
-625,37,843
-631,78,831
-624,111,856
-622,165,788
-650,151,897
-648,103,996
-657,113,878
-652,118,880
-654,97,957
-667,27,970
-677,22,955
-670,93,951
-616,81,899
-630,19,873
-669,14,939
-666,46,1035
-642,78,1001
-617,200,920
-598,118,934
-576,73,931
-558,163,854
-551,179,772
-524,145,810
-501,87,855
-515,57,834
-522,168,823
-518,209,829
-546,88,956
-530,42,996
-481,118,906
-463,222,825
-433,242,831
-455,138,875
-492,37,979
-477,54,1004
-477,141,871
-469,142,853
-466,71,897
-412,56,770
-376,106,697
-410,189,785
-426,131,803
-460,1,755
-451,-75,739
-437,20,780
-398,10,677
-427,-72,623
-490,-178,788
-461,-118,812
-474,-65,649
-474,-210,712
-466,-193,790
-467,-85,689
-452,-69,714
-465,-143,741
-494,-203,794
