0,0,0
-26,-27,8
18,-22,26
3,-7,47
-19,38,-12
-9,-15,18
7,-7,16
-15,-54,61
-9,11,-7
-13,-38,33
-13,-22,8
-16,-15,29
2,-49,35
6,-6,21
-8,-25,33
-22,-35,49
35,5,46
-1,-25,63
-27,8,37
-7,19,33
-8,-9,39
19,0,25
-10,-11,52
4,-35,27
-5,-53,83
-5,-6,-9
-3,-43,10
10,-32,23
17,-16,-4
16,-13,-4
11,1,30
-8,-76,-6
-12,-41,45
-17,-30,47
15,-23,45
-25,14,58
16,-25,53
-19,-38,-14
-2,37,-8
-37,-38,33
-38,-39,20
-31,-14,55
26,-39,49
-10,-5,66
-20,31,1
-22,-45,-4
-2,-49,36
-12,8,-2
-8,-9,4
-10,-32,49
-8,5,36
8,-17,31
-9,-17,9
-17,-32,-20
13,-15,1
6,-53,22
-10,-30,36
-10,8,33
-23,-33,-9
4,-42,47
-49,-8,46
-31,-14,25
9,-1,56
-8,7,66
-1,-2,39
-12,-23,32
-9,-37,46
-13,-43,25
-34,-65,67
-18,5,18
-14,-49,51
-23,21,30
-39,-31,24
-9,-26,17
-20,0,39
6,-12,28
27,-19,20
-4,-24,60
-12,-27,43
20,-32,14
-10,-46,34
-12,12,0
-2,-6,48
-35,-55,27
-15,-16,0
6,-18,62
10,-28,25
0,-45,44
4,-30,10
4,10,28
2,21,19
5,14,8
-36,-36,19
-8,10,66
-15,-30,50
-33,-33,44
-53,-12,0
-32,18,40
18,-4,54
-2,-57,9
-23,-33,25
-1,-20,41
-20,15,2
-21,4,49
-15,24,54
-7,-24,-16
5,-19,36
-12,0,30
-9,15,48
-17,-15,10
-6,-49,14
2,9,14
-20,31,30
7,-21,40
0,10,-29
-23,-10,33
-39,-18,48
-14,-20,76
-22,-14,29
-5,-11,58
1,-47,39
-12,-4,17
-12,-44,7
0,-40,20
10,-24,10
-19,8,9
-10,-11,37
-5,-26,13
-14,-18,60
-16,6,36
-14,-24,65
-25,-10,50
1,16,-24
-7,20,17
-1,23,48
-2,-19,4
-40,-18,40
-16,-26,31
-15,-10,28
0,-26,12
-11,-40,-6
-1,-3,19
-9,-50,46
4,-9,43
-1,-17,70
-32,-9,1
-11,-35,29
-23,-57,75
14,-23,21
-22,-34,6
-10,-24,14
-12,-34,-30
-4,-50,55
-19,-20,30
-11,-4,32
-1,-4,54
15,11,40
-17,-47,7
4,5,24
12,-9,47
1,-38,30
-25,28,23
0,-18,28
-3,-25,11
-16,-33,52
13,-22,7
-2,-35,28
0,-57,-14
-18,-34,21
3,-10,32
-20,-3,8
-31,-21,28
24,-57,45
-18,-21,52
4,-14,39
-21,-43,34
-39,-40,5
-4,18,10
11,-38,27
-22,16,18
-4,-7,45
-34,15,30
-8,-25,54
17,12,-9
-1,-43,24
1,25,63
-2,-10,36
-5,18,27
-16,-24,9
-12,1,-6
8,2,14
-33,-40,36
20,-24,27
-19,-33,63
-5,-7,28
-6,-16,66
-36,14,32
-41,-10,76
-21,-23,-20
12,-31,4
-13,-26,48
-25,10,-10
-16,-42,67
-17,0,42
-6,-56,-28
0,9,27
22,-19,62
-16,-36,89
18,-14,8
-3,-25,24
-12,-21,32
8,-27,41
-3,-15,63
-30,-7,28
-27,-33,56
-2,-35,63
-36,-10,42
-32,-19,17
-15,-33,41
14,-9,30
-1,-66,22
-3,-22,4
-16,9,15
0,-21,15
15,-9,12
5,18,13
-28,-11,11
29,-38,40
-11,-9,35
-22,-41,9
1,1,52
5,-42,32
-3,-48,18
-10,-26,5
38,-25,35
-13,-5,23
-12,1,31
-31,-29,49
-26,-5,5
-5,-36,3
-9,-31,-7
2,-45,52
14,-17,35
-26,-30,80
-14,0,-2
-3,-19,23
-17,-55,20
-5,-13,37
-14,0,-3
1,-38,41
10,-35,52
-7,-36,13
20,-27,18
15,-24,11
-29,-61,44
24,-58,25
-5,-22,23
-16,4,9
-12,-26,21
-10,-40,35
-33,-24,36
-9,-39,-5
-13,3,49
-13,-6,-16
-13,4,66
19,-53,34
-4,-11,44
-11,18,28
-5,-26,11
-1,-21,42
-4,-1,67
-25,6,52
-8,-49,55
0,3,18
-16,-34,34
4,6,43
-22,-29,23
-10,-18,22
-48,-11,27
22,-19,10
3,-4,38
-16,-8,17
3,35,43
6,-10,67
-6,-22,10
-14,-37,60
-24,11,26
-41,-5,36
13,-38,31
2,-38,31
-20,-22,80
-4,-20,3
-25,18,21
-8,-22,46
-24,-8,34
7,-23,16
-5,-54,38
-13,-39,36
-5,-8,11
9,-38,16
-14,-2,58
7,-16,6
-20,7,51
-2,1,45
14,-22,9
-2,-34,-18
-45,3,34
-14,2,54
-22,-37,30
-4,-27,18
24,-35,52
-6,-28,21
6,-53,19
-16,-6,-3
-14,-29,55
-4,7,18
-23,-2,6
-3,-22,14
0,-12,23
7,14,62
-2,-9,22
-17,23,5
-27,-29,59
-31,-23,80
-3,-33,26
-12,37,8
19,-17,9
-3,-19,57
-7,-43,61
-40,6,20
2,-24,85
-27,-13,50
-12,1,6
17,-47,32
-8,-13,43
-8,-56,77
-13,24,21
-18,3,51
0,-38,38
-9,-1,2
-23,-27,0
-34,-17,-7
-15,-15,-31
-9,-28,-2
-13,-27,30
14,-7,-14
8,-30,27
24,10,12
-3,32,16
11,-36,23
-30,-47,24
14,-66,6
10,24,36
-15,-25,38
-38,6,13
-15,-50,41
-8,-18,18
-12,40,15
-15,-8,67
-8,-24,24
-8,13,33
-5,-48,49
13,-18,36
-22,-24,19
5,-23,20
-12,-37,7
4,-32,52
-16,0,40
9,-15,54
-7,-32,47
10,-6,20
12,-36,0
-4,-27,43
10,-20,29
-22,-24,-8
25,-26,35
-20,-59,63
-12,-40,31
-12,-32,29
-2,-62,69
-9,-20,32
-40,-27,-5
-23,-1,58
-8,-35,25
-32,-14,25
-2,15,44
-45,7,-2
-10,4,26
-7,-44,36
27,-51,35
-40,14,34
0,-92,38
5,-15,10
-5,-51,43
2,-46,38
12,19,10
6,-38,-26
-12,-28,53
9,-5,23
-6,39,40
7,-28,-24
13,-2,54
13,-3,7
19,-2,16
4,-20,32
13,5,4
6,2,54
16,-13,55
-23,-18,53
-7,-36,54
2,-48,66
-19,-19,57
-3,-22,47
2,-59,16
